Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
BIOE,8000,,Laberge Martine  (0905-CECAS),64, 0,0,0,0,0,0,0,0,98.44,1.56
BIOE,8010,,Latour Robert A (0905-CECAS),32, 31.25,59.38,6.25,0,0,3.13,0,0,0,0
BIOE,8020,,Vyavahare Narendra R (0905-CECAS),9, #,#,#,#,#,#,#,#,#,#
BIOE,8140,,Orr David E. (0905-CECAS),23, 91.30,0,0,0,4.35,4.35,0,0,0,0
BIOE,8160,,Laberge Martine  (0905-CECAS),19, 84.21,10.53,0,0,5.26,0,0,0,0,0
BIOE,8200,,Yao Hai  (0905-CECAS),25, 88.00,4.00,0,0,0,8.00,0,0,0,0
BIOE,8240,,Lee JeoungSoo  (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,8460,,Simionescu Dan T (0905-CECAS),42, 97.62,0,0,0,0,2.38,0,0,0,0
BIOE,8490,,Mei Ying  (0905-CECAS),5, #,#,#,#,#,#,#,#,#,#
BIOE,8500,,Bruce Terri Lane Foster (0332-CSCI),13, 100.00,0,0,0,0,0,0,0,0,0
BIOE,8500,,Foley Ann Catherine (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,8500,,Smith Cynthia Miller (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,8510,,Dean Delphine  (0905-CECAS),5, #,#,#,#,#,#,#,#,#,#
BIOE,8600,,Mercuri Jeremy J (0905-CECAS),13, 100.00,0,0,0,0,0,0,0,0,0
BIOE,8700,,Ye Tong  (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,8900,,Harman Melinda K (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,8900,,Mercuri Jeremy J (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Alexander Angela Antoinette (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Cottle Renee Nicole (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Dean Delphine  (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Desjardins John D (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Harman Melinda K (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Lee JeoungSoo  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Mercuri Jeremy J (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Nagatomi Jiro  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Richardson William J (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Simionescu Agneta  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Simionescu Dan T (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8910,,Yao Hai  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,8920,,Kung Ethan  (0921-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Alexander Angela Antoinette (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Booth Brian William (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Bruce Terri Lane Foster (0332-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Burg Karen J.L. (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Dean Delphine  (0905-CECAS),5, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Desjardins John D (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Foley Ann Catherine (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Gao Zhi  (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Gilbert Jeremy L (0905-CECAS),6, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Gilmore Jordon Anthony Stowe (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Harcum Sarah W (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
