Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
BIOL,4610,H,Chapman Susan Caroline (0314-CSCI),27, 59.26,29.63,11.11,0,0,0,0,0,0,0
BIOL,4620,,Yu Xianzhong  (0314-CSCI),205, 85.85,10.24,1.46,0.49,0.49,1.46,0,0,0,0
BIOL,4670,,Gallicchio Vincent S (0314-CSCI),34, 70.59,11.76,2.94,0,0,5.88,8.82,0,0,0
BIOL,4890,,Gallicchio Vincent S (0314-CSCI),21, 100.00,0,0,0,0,0,0,0,0,0
BIOL,4910,,Arya Dev Priya (0973-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Bain Lisa J (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Blob Richard W. (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Childress Michael J (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Dean Delphine  (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Hains John Jenkins (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Rapaport Lisa G (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Rice Charles D (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Richards Vincent Paul (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Surver William M (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,,Wells Christina E. (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Bain Lisa J (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Baldwin William S (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Blob Richard W. (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Booth Brian William (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Childress Michael J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Feliciano David M (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Gallicchio Vincent S (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Ptacek Margaret  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Rice Charles D (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Scott Thomas R (0311-CAFLS),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Sears Michael W (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4910,H,Temesvari Lesly  (0801-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4920,,Kosinski Robert J (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
BIOL,4930,,Bielenberg Douglas G (0314-CSCI),12, 91.67,0,0,0,0,8.33,0,0,0,0
BIOL,4930,,Chen Wen Y (0314-CSCI),13, 61.54,38.46,0,0,0,0,0,0,0,0
BIOL,4930,,Gallicchio Vincent S (0314-CSCI),30, 96.67,0,0,0,0,3.33,0,0,0,0
BIOL,4930,,Powder Kara Elizabeth (0314-CSCI),14, 78.57,7.14,0,0,7.14,7.14,0,0,0,0
BIOL,4930,,Price Samantha Ann (0314-CSCI),14, 71.43,14.29,0,7.14,0,7.14,0,0,0,0
BIOL,4930,,Turnbull Matthew W (0314-CSCI),14, 85.71,7.14,0,0,0,7.14,0,0,0,0
BIOL,4930,,Van den Hurk Peter  (0314-CSCI),14, 100.00,0,0,0,0,0,0,0,0,0
BIOL,4930,,Yu Xianzhong  (0314-CSCI),15, 100.00,0,0,0,0,0,0,0,0,0
