Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
ECON,4020,,Bodenhorn Howard Nelson (1309-CBUS),39, 20.51,41.03,30.77,5.13,0,2.56,0,0,0,0
ECON,4040,,Litsukova-Bokar Daria  (1309-CBUS),16, 12.50,37.50,6.25,18.75,18.75,6.25,0,0,0,0
ECON,4050,,Barkowski Scott J (1309-CBUS),58, 18.97,22.41,31.03,12.07,10.34,3.45,1.72,0,0,0
ECON,4060,,De Los Santos Babur  (1309-CBUS),8, #,#,#,#,#,#,#,#,#,#
ECON,4100,,Tamura Robert F (1309-CBUS),28, 57.14,32.14,0,0,3.57,3.57,3.57,0,0,0
ECON,4110,,Blair Peter Quartermaine (1309-CBUS),30, 30.00,43.33,23.33,0,0,3.33,0,0,0,0
ECON,4120,,Sessa Richard Alan (1309-CBUS),28, 35.71,39.29,14.29,7.14,3.57,0,0,0,0,0
ECON,4220,,Dwyer Gerald P (1309-CBUS),34, 26.47,50.00,11.76,0,2.94,8.82,0,0,0,0
ECON,4230,,Gorry Devon Merritt Haskell (1309-CBUS),17, 47.06,17.65,23.53,5.88,0,5.88,0,0,0,0
ECON,4250,,Sauer Raymond D (1309-CBUS),19, 52.63,31.58,0,0,0,10.53,5.26,0,0,0
ECON,4260,,Sauer Raymond D (1309-CBUS),19, 47.37,47.37,0,5.26,0,0,0,0,0,0
ECON,4280,,Fleck Robert Kenneth (1309-CBUS),35, 45.71,28.57,11.43,5.71,2.86,5.71,0,0,0,0
ECON,4910,H,Fleck Robert Kenneth (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,4960,,Baier Scott L. (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,4960,,Makowsky Michael D (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,4960,,Sauer Raymond D (1309-CBUS),6, #,#,#,#,#,#,#,#,#,#
ECON,4960,,Templeton Scott R. (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,4970,,Baier Scott L. (1309-CBUS),5, #,#,#,#,#,#,#,#,#,#
ECON,4980,,Bodenhorn Howard Nelson (1309-CBUS),5, #,#,#,#,#,#,#,#,#,#
ECON,4980,,Hobbs Bradley Keith (1309-CBUS),9, #,#,#,#,#,#,#,#,#,#
ECON,6050,,Barkowski Scott J (1309-CBUS),7, #,#,#,#,#,#,#,#,#,#
ECON,6060,,De Los Santos Babur  (1309-CBUS),5, #,#,#,#,#,#,#,#,#,#
ECON,6110,,Blair Peter Quartermaine (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,6220,,Dwyer Gerald P (1309-CBUS),2, #,#,#,#,#,#,#,#,#,#
ECON,6250,,Sauer Raymond D (1309-CBUS),4, #,#,#,#,#,#,#,#,#,#
ECON,6260,,Sauer Raymond D (1309-CBUS),4, #,#,#,#,#,#,#,#,#,#
ECON,6280,,Fleck Robert Kenneth (1309-CBUS),4, #,#,#,#,#,#,#,#,#,#
ECON,8010,,Dougan William R (1309-CBUS),8, #,#,#,#,#,#,#,#,#,#
ECON,8040,,Simon Curtis J (1309-CBUS),9, #,#,#,#,#,#,#,#,#,#
ECON,8060,,Wilson Paul Wayne (1309-CBUS),9, #,#,#,#,#,#,#,#,#,#
ECON,8080,,Wilson Paul Wayne (1309-CBUS),14, 14.29,42.86,21.43,0,14.29,7.14,0,0,0,0
ECON,8160,,Simon Curtis J (1309-CBUS),3, #,#,#,#,#,#,#,#,#,#
ECON,8210,,Warren Patrick L (1309-CBUS),7, #,#,#,#,#,#,#,#,#,#
